G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.8816400	0.1562708	0.9999072	0.0032854	0.1998510	0.5624688	0.6504786	0.5521990	0.7780521	0.8510394
0.8657200	0.1729405	0.4152051	0.6084732	0.6322801	0.1426568	0.4664493	0.2446108	0.4720463	0.7251739
0.8702106	0.1682914	0.4696668	0.5173737	0.4032523	0.5473855	0.5921607	0.4838975	0.7276249	0.8999282
0.9823039	0.0399375	0.2868833	0.7248051	0.7161299	0.0604535	0.3787745	0.0594764	0.4548212	0.7086959
0.5388635	0.1791869	0.3653003	0.7228506	0.7519480	0.0406201	0.3452178	0.1773621	0.5157010	0.5472018
0.9970892	0.0118277	0.5006422	0.1772264	0.4555566	0.2709693	0.3668575	0.0137909	0.1768053	0.4656459
0.6605548	0.1681630	0.4718335	0.5142070	0.4416758	0.4349763	0.6526147	0.5718586	0.8550887	1.0000000
0.9920964	0.0231302	0.3529106	0.7575733	0.6564930	0.2148712	0.4121287	0.1195192	0.5218199	0.7078424
0.9941794	0.0188275	0.3665641	0.7190333	0.6046668	0.1811553	0.4963356	0.2537522	0.8481771	0.8953074
0.2458605	0.8852635	0.0167485	0.8975450	0.9801380	0.0003284	0.1189114	0.0000444	0.7225682	1.0000000
