G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.1013118	0.1943086	0.6483655	0.8004592	0.0008952	0.1289946	0.0991023	0.5531692	0.6990386
0.8683476	0.0000000	0.5641771	0.1652904	0.4353765	0.3879555	0.5055726	0.5256512	0.6710130	0.9625449
0.3442526	0.7033619	0.0000000	0.4958170	0.6453309	0.0184621	0.1434940	0.0118865	0.5626646	0.7621903
0.6105841	0.1118446	0.7301569	0.0000000	0.3066141	0.2736922	0.4624088	0.4560103	0.6613341	0.7862150
0.6804821	0.1592021	0.8746003	0.0251303	0.0000000	0.3221527	0.6454044	0.4709998	0.6962552	0.6376416
0.6869640	0.1122706	0.4413749	0.2626511	0.5181857	0.0000000	0.6023700	0.4439187	0.6701275	0.8213178
0.6576803	0.0966523	0.2576389	0.6880982	0.7482559	0.0010662	0.0000000	0.3352969	0.7565089	0.8614399
0.6027897	0.1521806	0.2631035	0.5336865	0.5298508	0.0790699	0.2778345	0.0000000	0.5481197	0.8444657
0.8041308	0.1320814	0.2198086	0.5270718	0.6431632	0.0379708	0.2660780	0.0169493	0.0000000	0.8639795
0.6524607	0.1341234	0.2887432	0.4505769	0.6392425	0.0726493	0.2701072	0.0284622	0.1138163	0.0000000
