G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.2303007	0.3321448	0.8550402	1.0021319	0.0019855	0.0163991	0.0000000	0.8027227	1.0203167
0.4658555	0.9851805	0.0000000	0.8424384	0.9156107	0.0181318	0.2301495	0.0219783	0.0000000	1.0115765
0.4752562	0.9853804	0.0000000	0.9189147	0.8775579	0.0114632	0.2038105	0.0241077	0.1246240	0.0000000
0.9090613	0.1860264	0.2898468	0.9667174	1.0090110	0.0000000	0.0000000	0.2910383	0.8097550	1.0532780
0.9833943	0.2234776	0.2813893	0.8367304	0.8368561	0.0618818	0.4052393	0.0203908	0.0000000	0.0000000
