G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4330711	0.1727957	0.4132762	0.6182562	0.6726754	0.0963193	0.4197910	0.3231467	0.8144635	1.0000000
0.9528940	0.0787341	0.8515008	0.1704461	0.4386183	0.4403850	0.6559871	0.5756425	0.8144635	1.0000000
0.7823643	0.2632109	0.1823919	0.7244584	0.7386174	0.0474488	0.3572774	0.0707233	0.8144635	1.0000000
0.8813206	0.1566045	0.9503645	0.0896962	0.4445815	0.4309638	0.6504679	0.5945220	0.8144635	1.0000000
0.8816162	0.1562978	0.9955608	0.0247881	0.2211583	0.4346049	0.6525810	0.6011630	0.8144635	1.0000000
0.8752238	0.1629993	0.5741030	0.3918311	0.5571615	0.1735772	0.6015943	0.4626987	0.8144635	1.0000000
0.8516491	0.1876700	0.3206185	0.8699259	0.8880779	0.0067938	0.2296566	0.2109442	0.8144635	1.0000000
0.8658522	0.1728474	0.4156493	0.6083576	0.6651873	0.1038636	0.4303225	0.1614304	0.8144635	1.0000000
0.8626792	0.1761177	0.3875561	0.6666279	0.6992194	0.0728351	0.3953574	0.1063721	0.4072318	1.0000000
0.8613563	0.1775131	0.3770455	0.6917641	0.7154446	0.0611593	0.3794014	0.0777614	0.3483310	0.5000000
