"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.1513812	0.4232702	1.0553140	0.3593066	0.3061746	0.5471900	0.0127018	0.7378285	0.0480164	0.0626001
50	0.1450998	0.4402788	0.9588688	0.1627784	0.2990560	0.2163885	0.0452190	0.8232150	0.0312186	0.0459213
100	0.1198329	0.4919077	0.9302687	0.0921974	0.3157799	0.0870041	0.0387326	0.8671810	0.0318215	0.0360919
150	0.0878462	0.4734683	0.9909221	0.0834158	0.3790369	0.0314151	0.0544931	0.8270696	0.0255776	0.0479566
200	0.0895557	0.5349438	0.9755091	0.0838020	0.3350997	0.0079121	0.0399003	0.9275270	0.0442755	0.0271582
250	0.0910781	0.4868283	1.0621982	0.0690292	0.3636896	0.0132006	0.0335551	0.8113883	0.0474797	0.0397080
300	0.0820273	0.4320051	0.9937752	0.0947947	0.3243996	0.0012570	0.0423629	0.7855628	0.0442494	0.0411866
350	0.0942274	0.4359241	0.9923587	0.0819386	0.3334413	0.0030932	0.0222535	0.8490385	0.0495597	0.0364912
400	0.0929084	0.4988272	0.9795339	0.0963096	0.3265201	0.0009099	0.0226811	0.8288422	0.0363445	0.0398947
450	0.1022998	0.5316959	1.0044250	0.0825295	0.3199211	0.0068705	0.0293735	0.8603945	0.0449406	0.0332043
500	0.1137132	0.5211584	0.9747664	0.0723645	0.3239529	0.0106286	0.0357660	0.8616790	0.0423086	0.0488516
550	0.1184538	0.4599587	1.0868813	0.3023510	0.3385804	0.3692367	0.0444011	0.8038690	0.0432147	0.0603612
600	0.1920075	0.4410763	1.0427291	0.3189753	0.3095292	0.4435519	0.0372380	0.8024800	0.0340966	0.0741137
650	0.1510691	0.4681934	1.0055682	0.3255062	0.3050944	0.6269419	0.0267449	0.8403092	0.0360623	0.0473214
700	0.1440693	0.4584262	1.0549458	0.3906323	0.3186120	0.5504686	0.0381681	0.7798357	0.0328603	0.0516129
750	0.1400521	0.3878523	1.0314549	0.4039784	0.3225431	0.5317143	0.0275053	0.8832111	0.0379634	0.0437058
800	0.1290404	0.3904676	1.0177789	0.3755477	0.2611533	0.5029477	0.0357217	0.8554551	0.0311562	0.0544019
850	0.1660545	0.4447758	1.0355096	0.4059670	0.3107270	0.5154158	0.0294494	0.8208889	0.0343738	0.0444715
900	0.1453424	0.4411353	1.0283065	0.4120998	0.3139776	0.5681144	0.0245455	0.9058881	0.0271599	0.0738346
950	0.1000385	0.4216381	1.0090674	0.3854375	0.2963964	0.5108080	0.0255968	0.8857910	0.0280130	0.0655930
1000	0.1345838	0.4233877	1.0051068	0.3966872	0.2646960	0.4873662	0.0247590	0.7909360	0.0239663	0.0676715

0	0.1513812	0.4232702	1.0553140	0.3593066	0.3061746	0.5471900	0.0127018	0.7378285	0.0480164	0.0626001
50	0.0463480	0.0929641	0.9923514	0.4166596	0.5089922	0.5251119	0.4965504	0.8239077	0.0366479	0.0874993
100	0.0253890	0.0423522	0.9516666	0.4950773	0.5553040	0.5146009	0.6956649	0.8187941	0.0412410	0.0606298
150	0.0165238	0.0492053	0.8774809	0.5541112	0.4685044	0.5236524	0.8108597	0.8158907	0.0589124	0.0903745
200	0.0181539	0.0242032	0.9636496	0.5460829	0.4797198	0.5053838	0.7625562	0.7553562	0.0400177	0.0883381
250	0.0102945	0.0461946	1.0374002	0.4990489	0.4328479	0.5532532	0.7903065	0.6435906	0.0311302	0.0732029
300	0.0124260	0.0419451	1.1264327	0.4651958	0.3109327	0.4730482	0.8297644	0.6359624	0.0363441	0.0736396
350	0.0114461	0.0430270	1.1266591	0.4639342	0.2873689	0.4653342	0.7734143	0.5615199	0.0241388	0.0632748
400	0.0112267	0.0453760	1.0065192	0.4996174	0.3814722	0.4240673	0.7512717	0.5612275	0.0283570	0.0530173
450	0.0173097	0.0442591	0.9958285	0.4417267	0.3104988	0.4730770	0.7478234	0.6018845	0.0323949	0.0670102
500	0.0234794	0.0496764	0.9895109	0.5060188	0.3369015	0.4568269	0.7520669	0.5810875	0.0453870	0.0809912
550	0.1553129	0.4574031	0.9593961	0.5032981	0.3196590	0.5317237	0.2568724	0.7266154	0.0516650	0.0983306
600	0.1624781	0.4256763	0.9963118	0.4724945	0.3608654	0.5222137	0.1125251	0.8248488	0.0414673	0.0808498
