"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
650	0.1291400	0.4338875	1.0050081	0.3589368	0.3087741	0.5336056	0.0566017	0.8090584	0.0273087	0.0833408
700	0.1507892	0.5153773	0.9682780	0.3663689	0.3598805	0.5403580	0.0367656	0.7963949	0.0495659	0.0655713
750	0.1201527	0.4708857	1.0880306	0.4081897	0.3398556	0.5579292	0.0336667	0.8122987	0.0484286	0.0435856
800	0.1313087	0.3901455	1.0159105	0.3879936	0.2782454	0.5279218	0.0378745	0.8254273	0.0537136	0.0589892
850	0.1710031	0.4374924	0.9527926	0.3915247	0.2770255	0.5942855	0.0260366	0.8255589	0.0397552	0.0443966
900	0.1509863	0.4528093	1.0062148	0.3976896	0.3331601	0.5185450	0.0338995	0.8443601	0.0371477	0.0674127
950	0.1369936	0.4618524	1.0308752	0.3619903	0.2967583	0.5064377	0.0393594	0.8077741	0.0353077	0.0678284
1000	0.1421275	0.4605680	0.9940665	0.3940902	0.2781433	0.5562101	0.0328073	0.8530678	0.0387447	0.0645122

0	0.1513812	0.4232702	1.0553140	0.3593066	0.3061746	0.5471900	0.0127018	0.7378285	0.0480164	0.0626001
50	0.1557040	0.4559896	0.9329327	0.3878600	0.4906402	0.2568025	0.0198642	0.8551197	0.0122684	0.0382645
100	0.1456111	0.4540726	1.0244725	0.3711638	0.5633922	0.1579469	0.0257139	0.8882348	0.0033786	0.0223756
150	0.1201593	0.4667675	1.0251110	0.3862005	0.5405102	0.1189674	0.0344816	0.9058702	0.0009057	0.0271742
200	0.1603316	0.4602165	1.0622016	0.3395153	0.5386527	0.1313834	0.0276441	0.8327575	0.0001208	0.0157132
250	0.1547504	0.4088022	1.0310642	0.3945706	0.6187906	0.1249577	0.0489043	0.7633048	0.0015487	0.0156515
300	0.1979062	0.3895223	0.9963451	0.4192870	0.5733365	0.1288246	0.0273192	0.8344050	0.0006520	0.0173281
350	0.1671327	0.4238394	0.9172119	0.3611896	0.5460518	0.1004676	0.0338419	0.7872641	0.0002339	0.0109569
400	0.1722217	0.4845315	0.9699358	0.4606026	0.6207291	0.1064166	0.0491068	0.9104498	0.0003778	0.0097325
450	0.1724721	0.5483289	0.9347175	0.4581740	0.5733735	0.0921729	0.0330554	0.8782405	0.0030640	0.0132985
500	0.1157322	0.4223387	0.9807437	0.3757757	0.5407295	0.0958646	0.0417064	0.8183045	0.0007120	0.0087175
550	0.1153626	0.3741870	1.0283760	0.3754476	0.3077652	0.3851586	0.0315296	0.7846251	0.0238377	0.0318247
600	0.0945746	0.3821923	1.0551896	0.4136761	0.3231432	0.4324148	0.0239774	0.8184772	0.0217524	0.0555294
650	0.1317036	0.5005535	1.0572149	0.3562005	0.3142451	0.4469942	0.0163843	0.8738683	0.0449803	0.0728913
700	0.1279656	0.4486540	0.9811255	0.4363381	0.3147599	0.5388118	0.0259710	0.9429581	0.0553296	0.0700119
750	0.1639570	0.4408622	0.9871482	0.3653712	0.3180105	0.5314307	0.0243057	0.8325798	0.0472391	0.0682204
800	0.1742180	0.4414475	1.0477699	0.4177541	0.3194503	0.4642640	0.0282243	0.8800826	0.0496941	0.0896070
850	0.1281535	0.3840964	0.9615749	0.3832468	0.3031667	0.4548039	0.0257653	0.8685851	0.0300830	0.0637287
900	0.1398373	0.3990648	1.0135861	0.4170934	0.3383655	0.4338932	0.0159126	0.7891471	0.0419635	0.0714934
950	0.1610735	0.4384571	0.9723930	0.4117873	0.3440591	0.5583758	0.0372403	0.8576853	0.0576607	0.0980152
1000	0.1543446	0.4211340	0.9655141	0.3535158	0.3601004	0.5334917	0.0160123	0.8576446	0.0316953	0.0737926

0	0.1513812	0.4232702	1.0553140	0.3593066	0.3061746	0.5471900	0.0127018	0.7378285	0.0480164	0.0626001
50	0.1254732	0.3934678	1.0062751	0.1918359	0.3568509	0.2584650	0.0341464	0.7667050	0.0478197	0.0764439
100	0.1963383	0.4338888	1.0492325	0.1251600	0.2839100	0.2245728	0.0330055	0.8153595	0.0425949	0.0637569
150	0.1958137	0.4434791	1.0224880	0.1250696	0.2403228	0.2017707	0.0371955	0.8750019	0.0382269	0.0685143
200	0.1626527	0.3901245	0.9699967	0.1168437	0.2584492	0.1727403	0.0287504	0.8363479	0.0343478	0.0816251
250	0.1409977	0.4088451	0.9229610	0.1288324	0.2809849	0.1407472	0.0324738	0.8583676	0.0373429	0.0692808
300	0.1648052	0.5108856	0.8460351	0.1416054	0.3252379	0.1856911	0.0249144	0.8186519	0.0352096	0.0817197
350	0.1427820	0.4795010	0.9074837	0.1383058	0.3675841	0.2276603	0.0315390	0.9761970	0.0473095	0.0716334
400	0.1517909	0.4598932	1.0022716	0.0940380	0.2835087	0.2122126	0.0308051	0.9404685	0.0352801	0.0827341
450	0.1688429	0.4348910	1.0324502	0.0689126	0.3043796	0.2187789	0.0206093	0.9055155	0.0519979	0.0763006
500	0.1504809	0.3933450	0.9886268	0.0947245	0.2458640	0.1654313	0.0237648	0.9015192	0.0392388	0.0568847
550	0.1460609	0.4024633	0.9359123	0.3186258	0.2874349	0.4376017	0.0393663	0.9011091	0.0474592	0.0665467
600	0.1498193	0.4153745	0.9105740	0.3817750	0.2905763	0.4724896	0.0322858	0.8841860	0.0492476	0.0589054
650	0.1598006	0.4007226	0.9263165	0.4263344	0.3378311	0.5675403	0.0284798	0.9108304	0.0367417	0.0730623
700	0.1470713	0.5643244	0.9748572	0.4390457	0.3382154	0.5419777	0.0288965	0.8289956	0.0418897	0.0903435
750	0.1504233	0.4798433	1.0155162	0.3705104	0.3322386	0.5383837	0.0275937	0.8219940	0.0363203	0.0723526
800	0.1662662	0.4267116	1.1275432	0.3430272	0.3174621	0.4703821	0.0425452	0.7816051	0.0329832	0.0878126
850	0.1636192	0.3946980	1.1439949	0.3410451	0.2990189	0.5236129	0.0399370	0.8452320	0.0388660	0.0763105
900	0.1593288	0.3374462	1.0676215	0.3657156	0.2939858	0.4842620	0.0424738	0.8429165	0.0738657	0.0792136
950	0.1516129	0.3629757	1.0287245	0.3798922	0.3139845	0.4017189	0.0470579	0.7711706	0.0455969	0.0503626
1000	0.1424244	0.3556624	0.9638920	0.4530709	0.3033370	0.4196989	0.0403138	0.7677038	0.0417695	0.0595649

0	0.1513812	0.4232702	1.0553140	0.3593066	0.3061746	0.5471900	0.0127018	0.7378285	0.0480164	0.0626001
50	0.1670878	0.4235271	1.0370597	0.3749987	0.3049426	0.5163672	0.2855539	0.8459761	0.0460501	0.0647494
100	0.1650969	0.4421072	1.0672948	0.3438923	0.3068060	0.4951626	0.3691351	0.8360192	0.0341617	0.0391110
150	0.1648955	0.4479618	1.0038797	0.3601668	0.3151591	0.5116183	0.4154376	0.8637759	0.0464381	0.0366042
200	0.1613390	0.5161686	0.9678360	0.4051470	0.2974097	0.4911324	0.4444803	0.8241489	0.0441477	0.0408083
250	0.1225914	0.4171233	0.9356305	0.3907884	0.3307358	0.5266686	0.3724529	0.9747858	0.0392350	0.0470373
300	0.1353356	0.4586661	1.0328532	0.3572687	0.3226806	0.5219458	0.3903457	0.8181597	0.0451250	0.0456354
350	0.1560740	0.4311016	0.9722408	0.3511387	0.3147694	0.5096638	0.4691469	0.8119701	0.0273894	0.0481211
400	0.1733404	0.4880595	0.9287032	0.3853480	0.2764435	0.5009072	0.4441813	0.8587122	0.0312058	0.0591006
450	0.1558236	0.5303388	0.9817517	0.3718784	0.3178734	0.5719792	0.4044758	0.8721780	0.0425637	0.0467239
500	0.1376294	0.5074485	1.0472957	0.3862272	0.3238536	0.5632910	0.4591640	0.8879847	0.0351922	0.0526630
550	0.1258315	0.4575038	0.9843120	0.4392574	0.3188924	0.5419209	0.1036374	0.8597472	0.0402909	0.0596903
600	0.1476785	0.3554295	1.0201085	0.4424206	0.3858400	0.5683867	0.0445242	0.8738591	0.0376231	0.0504803
650	0.1902629	0.4149507	1.0505336	0.4176614	0.3026077	0.5010326	0.0395452	0.8963115	0.0447586	0.0555683
700	0.1928084	0.4304075	0.9988344	0.4152311	0.2449916	0.5196083	0.0570188	0.8808016	0.0450653	0.0531671
750	0.1630037	0.5303641	1.0141454	0.3557516	0.3144849	0.5619275	0.0408601	0.8614624	0.0287512	0.0738608
800	0.1544836	0.4857245	1.0449090	0.3456548	0.3331295	0.4931583	0.0367061	0.8709839	0.0422050	0.0650114
850	0.1256885	0.4574271	1.0148263	0.3554672	0.3634257	0.5180493	0.0472449	0.8939529	0.0298472	0.0784804
900	0.1527122	0.4868128	1.0112663	0.3385874	0.3186310	0.4988724	0.0359873	0.8457336	0.0318821	0.0869784
950	0.1620432	0.4299613	0.9538721	0.3383132	0.2916283	0.5289219	0.0245454	0.9196651	0.0303660	0.0788975
1000	0.2163803	0.4445988	0.9676109	0.3588944	0.2770157	0.5209891	0.0392646	0.9125957	0.0221822	0.0723647

0	0.1513812	0.4232702	1.0553140	0.3593066	0.3061746	0.5471900	0.0127018	0.7378285	0.0480164	0.0626001
50	0.1189850	0.5101729	0.6599000	0.2465034	0.5569265	0.2618862	0.0268366	0.9091318	0.0353728	0.0769065
100	0.1884777	0.7304268	0.6113996	0.2353687	0.7114190	0.1948727	0.0260925	0.9892206	0.0461039	0.0984797
150	0.2085695	0.7951802	0.5384432	0.2482326	0.6951206	0.1630306	0.0352304	0.9804313	0.0450259	0.0859655
200	0.2428624	0.9326568	0.5748188	0.2495680	0.7112991	0.1910029	0.0275091	0.9975453	0.0451061	0.1087660
250	0.2284004	0.9392295	0.4878250	0.2584611	0.7476035	0.2035421	0.0169712	1.0230207	0.0560668	0.1398645
300	0.2522891	0.8850237	0.4363402	0.2542065	0.7726725	0.1756976	0.0406149	1.1056536	0.0538739	0.1538211
350	0.2333758	0.8860483	0.4598370	0.2710279	0.7328910	0.1785103	0.0356386	1.0210316	0.0723598	0.1982412
400	0.2358781	0.8227638	0.4987609	0.2539847	0.7559994	0.1895447	0.0513734	0.9852451	0.0561645	0.1908005
450	0.2459065	0.8407972	0.5011898	0.2770351	0.7793587	0.1869255	0.0349474	0.9789922	0.0613374	0.1746154
500	0.2622115	0.9238450	0.5176837	0.2013634	0.6842225	0.1687589	0.0172166	1.0315368	0.0484225	0.1856412
550	0.2168860	0.8278163	0.8698897	0.2860200	0.4705187	0.6580571	0.0244181	1.0304258	0.0471847	0.1521119
600	0.2003040	0.6057593	0.9453959	0.3687018	0.4050639	0.7579732	0.0212187	0.9070693	0.0316591	0.0969202
650	0.1446817	0.6027491	0.9196178	0.3090994	0.3535990	0.6926503	0.0323741	0.9119373	0.0332677	0.0973223
700	0.1392284	0.4170821	1.0058138	0.3592653	0.3852414	0.6223038	0.0332396	0.8668914	0.0478985	0.0834659
750	0.1164652	0.4518118	0.9182688	0.3870542	0.3098783	0.6669695	0.0329488	0.8387056	0.0395658	0.0717920
800	0.1478624	0.3959623	1.0972032	0.3690004	0.3891150	0.6082422	0.0331500	0.8416236	0.0313716	0.0503023
850	0.1439218	0.4777221	1.0513457	0.4271613	0.3472777	0.5385882	0.0334600	0.8214105	0.0436492	0.0483793
900	0.1444290	0.4042268	0.9947010	0.4412806	0.3491834	0.5420029	0.0287322	0.8404419	0.0397261	0.0531387
950	0.1592178	0.4117455	0.9626314	0.4264596	0.2683833	0.5502741	0.0443312	0.8650232	0.0435259	0.0585807
1000	0.1337877	0.4744516	0.9736701	0.4486538	0.2935355	0.5742594	0.0424589	0.8634300	0.0299603	0.0822295

0	0.1513812	0.4232702	1.0553140	0.3593066	0.3061746	0.5471900	0.0127018	0.7378285	0.0480164	0.0626001
50	0.1583569	0.3663195	1.0794441	0.3538460	0.2875293	0.4541617	0.0296185	0.7807067	0.0292955	0.0795452
100	0.1866111	0.4139949	1.0242827	0.3444656	0.3306001	0.4847391	0.0396835	0.8562145	0.0491205	0.0679942
150	0.1675411	0.4209673	1.0402431	0.3466651	0.3258057	0.4559812	0.0359391	0.9077516	0.0432553	0.1033284
200	0.1434550	0.5182902	0.9395165	0.3656527	0.3266068	0.5046346	0.0295186	0.9113429	0.0319513	0.0949212
250	0.1310665	0.4868943	1.0086005	0.3989441	0.3290377	0.5184190	0.0271020	0.8749868	0.0488915	0.0791409
300	0.1146895	0.4448517	1.0652763	0.4257779	0.3964967	0.4811435	0.0301189	0.8996261	0.0578045	0.0715537
350	0.1361502	0.4568854	0.9982072	0.4145826	0.3602891	0.4661764	0.0251753	0.8657319	0.0436638	0.0599183
400	0.1472703	0.4479578	1.0729249	0.4097714	0.3659218	0.4937194	0.0273910	0.9040644	0.0300582	0.0600471
450	0.1442480	0.5399975	1.0369412	0.3729994	0.2927368	0.4959431	0.0421988	0.8411996	0.0261101	0.0915687
500	0.1709776	0.4487628	1.0447165	0.3826592	0.2751272	0.4331420	0.0301832	0.7671585	0.0310754	0.0677957
550	0.1875107	0.3414546	1.0761547	0.3940605	0.3395205	0.4981234	0.0265142	0.7862164	0.0349187	0.0765706
600	0.1580043	0.3968921	0.9967360	0.3834573	0.2776498	0.4722997	0.0248895	0.8139632	0.0486871	0.0894762
650	0.1049452	0.4226504	0.9846214	0.5395679	0.3099735	0.5358376	0.0288034	0.8757118	0.0356487	0.0695425
700	0.1589843	0.5017130	0.9528903	0.4658491	0.3223422	0.5089263	0.0219319	0.8454648	0.0477697	0.0753980
750	0.1361574	0.5340818	0.9701052	0.4092086	0.3036353	0.5408485	0.0274790	0.8572719	0.0593047	0.0689446
800	0.1237547	0.5042645	0.9451019	0.4084534	0.3190578	0.5585678	0.0111992	0.7992201	0.0367496	0.0874901
850	0.1259742	0.4364451	1.0362114	0.4138800	0.2472341	0.4917614	0.0253982	0.8725899	0.0410114	0.0818654
900	0.1135424	0.4002879	1.0036171	0.3842052	0.2822296	0.5049768	0.0326213	0.8952513	0.0523549	0.0783857
950	0.1139595	0.3084552	1.0269265	0.3911322	0.2622351	0.5094392	0.0295636	0.8203441	0.0443224	0.0626910
1000	0.1611686	0.4052375	1.0077955	0.3809885	0.3021934	0.5377047	0.0235806	0.7786148	0.0348620	0.0644770

0	0.1513812	0.4232702	1.0553140	0.3593066	0.3061746	0.5471900	0.0127018	0.7378285	0.0480164	0.0626001
50	0.1622892	0.4255073	1.0003584	0.3928682	0.3222762	0.6040565	0.0334112	0.7779491	0.0189961	0.0514680
100	0.1780861	0.4764525	0.9068621	0.3911326	0.3376904	0.5549063	0.0447231	0.8638898	0.0081312	0.0451957
150	0.1866229	0.5540395	0.8991432	0.4362325	0.3282032	0.5915313	0.0390327	0.8558078	0.0035524	0.0515584
200	0.1922243	0.4912280	0.9081571	0.4328955	0.3365703	0.6184251	0.0348182	0.8564946	0.0047421	0.0480737
250	0.1639260	0.5565886	0.8688501	0.4173295	0.3681472	0.5977378	0.0167017	0.8896106	0.0024555	0.0471153
300	0.1711883	0.6251344	0.8233838	0.4064072	0.3840838	0.6113434	0.0311526	0.8537600	0.0020333	0.0379359
350	0.1561892	0.5281042	0.8675766	0.4625945	0.3607386	0.5896503	0.0264645	0.9714592	0.0005362	0.0382914
400	0.1749813	0.6122904	0.8315927	0.4055863	0.3638244	0.6330328	0.0254198	0.9498892	0.0020588	0.0367559
450	0.1703110	0.6477139	0.8628028	0.3844545	0.3861943	0.7402009	0.0226029	0.8447059	0.0030982	0.0280036
500	0.1421252	0.5077446	0.8782518	0.3932640	0.3927223	0.6812812	0.0328797	0.8976065	0.0004966	0.0422953
550	0.1631547	0.6122348	0.9281101	0.3900797	0.3105086	0.6751682	0.0356709	0.8909702	0.0246967	0.0670772
600	0.1660622	0.4471168	1.0454142	0.3520790	0.3420231	0.6033503	0.0320418	0.7555393	0.0108263	0.0635114
650	0.1572894	0.4750177	0.9723331	0.3677393	0.3410067	0.5610023	0.0378647	0.7857873	0.0206366	0.0744320
700	0.1489013	0.4070464	1.0218039	0.3922864	0.2744526	0.5209404	0.0335688	0.8704572	0.0262036	0.0663358
750	0.1598088	0.4496665	1.0519093	0.3571057	0.2986923	0.5107241	0.0188351	0.9011793	0.0241871	0.0475522
800	0.1951390	0.5426003	1.0312972	0.3757268	0.3182613	0.5557075	0.0225918	0.8409941	0.0382591	0.0619954
850	0.2111675	0.4650490	0.9979074	0.3969605	0.3274984	0.4962669	0.0364032	0.9120099	0.0261810	0.0682471
900	0.1582233	0.4531044	0.9762854	0.3671337	0.3339280	0.5155890	0.0206383	0.8275510	0.0291680	0.0732550
950	0.1895449	0.4886565	0.9775420	0.4224303	0.3207206	0.5432818	0.0317344	0.8569176	0.0273273	0.0869699
1000	0.1534708	0.4806007	0.9955506	0.3573787	0.3279117	0.5757073	0.0320627	0.7846463	0.0347628	0.0933693

0	0.1513812	0.4232702	1.0553140	0.3593066	0.3061746	0.5471900	0.0127018	0.7378285	0.0480164	0.0626001
50	0.1869569	0.5287030	0.6746055	0.1481773	0.3791010	0.6805989	0.0201506	0.9028184	0.0492075	0.0986955
100	0.1695230	0.7869977	0.5724601	0.0365374	0.3784351	0.7443639	0.0286963	1.0312456	0.0413085	0.1111471
150	0.1787554	0.8410528	0.5632960	0.0380208	0.4840361	0.8403570	0.0260274	1.1002387	0.0402611	0.0983196
200	0.2260192	0.8725500	0.5248672	0.0328764	0.4204327	0.9825340	0.0238363	1.0467405	0.0532489	0.0976063
250	0.2526229	0.8959591	0.4397568	0.0311701	0.3894405	0.8278294	0.0247595	0.9681975	0.0488122	0.1354464
300	0.2370869	0.9045809	0.4683965	0.0282859	0.4722390	0.8744274	0.0337987	0.9909689	0.0685212	0.1352515
350	0.2288354	0.8035953	0.5268336	0.0252220	0.4696721	0.9700461	0.0476429	0.9359331	0.0690407	0.1570496
400	0.2730766	0.9111250	0.4977850	0.0246237	0.4720460	0.9355216	0.0340678	1.0118736	0.0797677	0.1598107
450	0.2396581	0.7831044	0.5566757	0.0108860	0.4779383	1.0165827	0.0239215	0.9879000	0.0558474	0.1493136
500	0.2410983	0.8698643	0.5377719	0.0223650	0.4636784	0.9048509	0.0346781	0.9980705	0.0632940	0.1406549
550	0.2483627	0.7351333	0.8576992	0.2962793	0.4227230	0.9072330	0.0285741	0.9682600	0.0526485	0.1312426
600	0.2139241	0.6157915	0.9199938	0.2963926	0.4076237	0.8628311	0.0352050	0.9228057	0.0436288	0.1195118
650	0.2011992	0.5762117	0.9491073	0.3499043	0.3249265	0.6397883	0.0246861	1.0095679	0.0566827	0.1203342
700	0.2031388	0.5590775	0.9691740	0.3902329	0.3995952	0.7069633	0.0351051	0.9616407	0.0456010	0.1075141
750	0.1589218	0.5214719	0.9594234	0.3900781	0.3481546	0.5814496	0.0153394	0.9149794	0.0439862	0.0794122
800	0.1358595	0.4255290	1.0366112	0.4528702	0.3180107	0.5907815	0.0240393	0.8992117	0.0432929	0.0694124
850	0.1372678	0.4425931	1.0258489	0.4037149	0.3198252	0.5868751	0.0223063	0.8753390	0.0507897	0.0753569
900	0.1747883	0.4977806	0.9924584	0.3787214	0.3304214	0.5694446	0.0305861	0.7383392	0.0428041	0.0829031
950	0.1760515	0.4402937	1.0255631	0.3529741	0.3330925	0.5715013	0.0323576	0.7985226	0.0403622	0.0749152
1000	0.1645277	0.4912948	0.9949152	0.4260723	0.2917133	0.5490120	0.0353999	0.8031612	0.0435466	0.0767037

0	0.1513812	0.4232702	1.0553140	0.3593066	0.3061746	0.5471900	0.0127018	0.7378285	0.0480164	0.0626001
50	0.1626608	0.4552913	0.9828201	0.4453847	0.3035928	0.5372094	0.4254404	0.8045417	0.0080777	0.0429152
100	0.1198599	0.4303319	0.9770298	0.3925824	0.3177817	0.5857192	0.5299949	0.8037908	0.0014869	0.0337323
150	0.1339115	0.4184298	0.9317200	0.4116474	0.2814962	0.6029494	0.6139950	0.8071026	0.0020539	0.0310106
200	0.1185053	0.4940247	0.9341587	0.4115931	0.3122593	0.5736890	0.6555602	0.8669491	0.0010078	0.0352025
250	0.1451404	0.4456476	0.9816584	0.4098903	0.3009188	0.5377610	0.6244211	0.8584604	0.0020453	0.0448549
300	0.1581461	0.5354023	0.9017552	0.4356810	0.3293911	0.6151313	0.5790489	0.8381978	0.0007000	0.0355653
350	0.1527482	0.5035890	0.9840702	0.4081868	0.3083682	0.6338784	0.6270347	0.8499501	0.0018938	0.0198417
400	0.1261166	0.3876831	1.0745497	0.3894615	0.2513329	0.5875184	0.6649436	0.7955558	0.0034258	0.0307994
450	0.1618198	0.3808231	1.0042242	0.3799654	0.2505552	0.4521398	0.6248881	0.7953519	0.0011669	0.0287060
500	0.1648952	0.4276035	0.9836050	0.4460950	0.2898699	0.4740655	0.7015613	0.8164227	0.0005743	0.0227625
550	0.1367590	0.4981279	0.9307584	0.4814275	0.3253675	0.5141183	0.2168433	0.8328176	0.0366677	0.0560189
600	0.1211283	0.5576649	0.9399096	0.4656460	0.2763554	0.4848782	0.0831865	0.7874300	0.0312639	0.0671078
650	0.1763405	0.4726025	1.0380317	0.4230608	0.3065160	0.5553819	0.0450498	0.8887305	0.0330150	0.0553767
700	0.1405412	0.4862129	1.0522060	0.3866232	0.3577747	0.5676852	0.0189938	0.8640190	0.0372103	0.0632619
750	0.1482022	0.4490870	1.0049143	0.4199560	0.3463445	0.5957490	0.0319603	0.8570725	0.0315082	0.0627074
800	0.1537414	0.5350496	1.0644519	0.4222805	0.3577559	0.5639478	0.0390971	0.8126259	0.0573974	0.0708221
850	0.1334299	0.4374718	1.0693069	0.3606456	0.3089374	0.5142760	0.0343368	0.7843322	0.0448834	0.0618611
900	0.1861700	0.4413949	1.0348897	0.3940640	0.2711272	0.5287826	0.0294204	0.7981541	0.0404196	0.0753642
950	0.1633488	0.3701981	1.0998183	0.4505558	0.2955875	0.5399581	0.0279691	0.8318012	0.0384738	0.0447877
1000	0.1775977	0.3912885	1.0416256	0.4015385	0.2893012	0.4141108	0.0268229	0.8679612	0.0338779	0.0514788
