G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0794640	0.5025918	0.9629712	0.4069500	0.3328829	0.5799608	0.0372281	0.8467163	0.0508118	0.0988588
0.1747002	0.2085303	0.9765933	0.3932732	0.3492894	0.5299166	0.0321934	0.8844062	0.0368920	0.1032951
0.2450146	0.9367204	0.5238935	0.4395490	0.5120467	1.0166021	0.0336729	0.9677737	0.0639500	0.2232603
0.1641511	0.5201017	0.9379130	0.2083205	0.3599416	0.6190814	0.0434880	0.8416448	0.0422733	0.0617252
0.1355548	0.5663057	1.0198197	0.4038390	0.1761845	0.6607410	0.0440148	0.9008718	0.0490470	0.0774782
0.1078409	0.4163143	0.9344969	0.3885993	0.2410954	0.3096750	0.0440049	0.9040152	0.0310826	0.0654064
0.1651662	0.5179022	0.9297925	0.4109726	0.3025101	0.6139996	0.0165422	0.8737101	0.0280236	0.0687274
0.1276358	0.4113103	1.0299930	0.4139670	0.3641099	0.5452364	0.0317561	0.4499116	0.0255375	0.0708789
0.1913084	0.4659125	0.9946175	0.4791124	0.3422862	0.5495917	0.0373595	0.8341209	0.0150568	0.0756676
0.1175988	0.4715468	1.0573086	0.3668410	0.2938583	0.5872289	0.0153244	0.8236601	0.0354656	0.0484865
