G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0753422	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0731605
0.1818475	0.2281687	1.0000000	0.4650058	0.3020089	0.5010006	0.0302349	0.8379992	0.0384353	0.0731605
0.2438750	0.9008738	0.5000006	0.4253301	0.4813764	0.9142310	0.0302350	0.9731648	0.0640757	0.1634407
0.1506724	0.4563373	1.0000000	0.1960652	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.1573289	0.5379579	0.0302349	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.2690207	0.0302349	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0151180	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.4208239	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0192201	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0365871
