G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0736740	0.3139763	1.1320749	0.3953811	0.3099985	0.4650811	0.5362281	0.9200412	0.0019172	0.0722064
0.1678945	0.7264815	0.6361085	0.3880380	0.4802208	0.6754670	0.0000126	0.9635641	0.0340433	0.0645237
0.0945640	0.7931477	0.5425450	0.3685710	0.5813132	0.8161058	0.0016781	0.9248053	0.0624703	0.1068824
0.1926883	0.3005388	0.9482419	0.4845740	0.3720171	0.3702175	0.5366816	0.6208726	0.0471123	0.0302672
0.1061612	0.4442402	1.0434966	0.4084785	0.3122389	0.5144474	0.0006405	0.7678343	0.0009713	0.0799392
0.1827848	0.4076437	1.0460274	0.4142620	0.2331944	0.5283960	0.0004925	0.5661381	0.0003296	0.0851126
0.1812816	0.5153796	1.0887634	0.3193798	0.2748713	0.5186184	0.3814695	1.0807225	0.0298038	0.0735492
0.2279699	0.8609333	0.5781884	0.4604618	0.7059069	0.8043646	0.0004882	0.6064366	0.0453230	0.0766667
0.1543463	0.7305475	0.6206384	0.2290304	0.5922584	0.8083861	0.0002646	0.7412414	0.0508180	0.1351103
0.1484493	0.5456883	0.9492339	0.3817870	0.2921699	0.3871464	0.3645548	0.8751392	0.0035146	0.0346519
