G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0748887	0.3622543	0.6541854	0.2687701	0.1629104	0.5039893	0.0419127	0.6046489	0.0231702	0.0793329
0.1189952	0.1207003	0.6776470	0.3881758	0.2342384	0.4317654	0.0520451	0.6974302	0.0642574	0.1299831
0.1768369	0.7632578	0.3615921	0.3811775	0.4033922	0.6689564	0.0158259	0.7450682	0.0669322	0.1719713
0.1481986	0.3254833	0.7046014	0.1947536	0.2588292	0.3421576	0.0369255	0.5806806	0.0278568	0.0602919
0.0787389	0.4716875	0.7017471	0.3443217	0.1861929	0.6180018	0.0299490	0.5665030	0.0564196	0.0665238
0.0737448	0.3311534	0.7055338	0.3112151	0.2587586	0.3076973	0.0172459	0.7455648	0.0204181	0.1030070
0.1525696	0.3803433	0.6958549	0.3411665	0.2194727	0.3985110	0.0048783	0.7802735	0.0315636	0.0647521
0.1241522	0.4337816	0.7479828	0.2920046	0.2498658	0.3653574	0.0269006	0.3299686	0.0197528	0.0725263
0.0821476	0.2786287	0.7226167	0.2783724	0.3207144	0.4003588	0.0164406	0.5126517	0.0153802	0.1042855
0.0988946	0.4003747	0.7644522	0.2616534	0.3403098	0.4516085	0.0147578	0.6553877	0.0407709	0.0411325
