G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0406367	0.3439272	0.7067655	0.2768236	0.2617594	0.4147167	0.0513238	0.6552944	0.0626704	0.0566245
0.1152272	0.1404218	0.7176548	0.3026485	0.2859615	0.4357465	0.0359071	0.7288742	0.0229906	0.0749818
0.1995313	0.7276718	0.4439471	0.3130417	0.3709139	0.7590524	0.0231428	0.6936925	0.0449545	0.2636446
0.1782679	0.4424147	0.6430278	0.1788396	0.2468149	0.4242191	0.0430575	0.6559859	0.0352910	0.0511398
0.0995500	0.4107723	0.6819104	0.2477228	0.1693712	0.4739165	0.0239637	0.6534944	0.0351628	0.0414677
0.0554142	0.2727419	0.7115163	0.3610008	0.1514969	0.2427846	0.0301418	0.7591662	0.0460158	0.0446053
0.1062067	0.3452056	0.6134778	0.2779077	0.2536434	0.3781643	0.0169360	0.6247067	0.0389073	0.0679589
0.1180199	0.3499755	0.8258393	0.2811200	0.2568383	0.4857022	0.0236415	0.2791261	0.0146148	0.0510768
0.1642301	0.3616363	0.7054673	0.3133680	0.2655957	0.3433474	0.0167623	0.6417761	0.0138750	0.0790584
0.1210872	0.3592952	0.7920257	0.2049575	0.2380187	0.5030935	0.0126419	0.6569059	0.0504164	0.0286385
