G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.5181365	0.9539476	0.3443550	0.3182742	0.5141869	0.0541682	0.8775887	0.0390633	0.0977829
0.5669313	0.0000000	1.0681570	0.5669807	0.0145676	0.4535789	0.0328001	0.1546969	0.0325595	0.1015979
0.3181100	0.9979782	0.0000000	0.5791873	1.0106958	1.0142315	0.8562170	0.9883738	1.0164558	1.0195414
0.1357451	0.5326786	0.9802739	0.0000000	0.3242985	0.5550586	0.0283980	0.8327776	0.0467001	0.0910019
0.1818641	0.4627919	1.0018499	0.3895547	0.0000000	0.5417914	0.0263227	0.8418232	0.0387230	0.0739306
0.1589271	0.4808561	1.0047252	0.4424605	0.3403647	0.0004554	0.0325384	0.8702845	0.0605973	0.0949352
0.1202494	0.4199558	1.0607735	0.3575570	0.3014657	0.4775303	0.0000000	0.7773430	0.0491223	0.0632537
0.1729339	0.4018477	1.0214312	0.3586650	0.2893548	0.4768620	0.0145951	0.0000000	0.0385045	0.0679146
0.1575854	0.5198393	0.9744479	0.3772123	0.3411714	0.5743213	0.0417831	0.9282148	0.0027399	0.0827968
0.1687852	0.4563226	1.0105839	0.3704625	0.3085787	0.5102513	0.0319544	0.8151856	0.0559555	0.0000000
