G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0753563	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0731605
0.1818064	0.2281759	1.0000000	0.4649314	0.3020163	0.5010153	0.0302349	0.8380104	0.0384353	0.0731605
0.2438731	0.9008649	0.5000015	0.4253423	0.4813735	0.9142101	0.0302350	0.9731563	0.0640576	0.1633889
0.1506724	0.4563373	1.0000000	0.1961132	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.1573394	0.5379579	0.0302349	0.8415489	0.0384353	0.0731606
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.2690780	0.0302349	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0151273	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.4209119	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0192333	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0366045
