G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.4991173	0.9445577	0.3678667	0.3285888	0.4947709	0.0492689	0.8014732	0.0623776	0.0829681
0.5976206	0.0000000	1.0477847	0.6145556	0.0269108	0.4791241	0.0204659	0.1486754	0.0098329	0.0912158
0.3214526	1.0167468	0.0000000	0.5987799	1.0222141	1.0049015	0.8569052	1.0034594	1.0033403	1.0574711
0.1291937	0.4896210	1.0058722	0.0000000	0.3216713	0.5319498	0.0257570	0.7950701	0.0285069	0.0761209
0.1967245	0.4809776	0.9797751	0.4550009	0.0000000	0.5022283	0.0316237	0.8860770	0.0431865	0.0725898
0.1290508	0.4742418	1.0974127	0.5019085	0.3974662	0.0105846	0.0143767	0.8329218	0.0519225	0.1055614
0.1412514	0.3983825	1.1115464	0.4174890	0.3150856	0.4859910	0.0000000	0.8011958	0.0463553	0.0401500
0.1332491	0.4090395	1.0653163	0.4043359	0.3077051	0.4777044	0.0364077	0.0000000	0.0459541	0.0665316
0.1569107	0.4862792	0.9495536	0.3351407	0.3943496	0.5900908	0.0326945	0.9379239	0.0105056	0.0878897
0.1333109	0.4570168	1.0254644	0.4108927	0.2671948	0.5294424	0.0268891	0.8425128	0.0432122	0.0000000
