G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000038	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0731605
0.6639873	0.0000000	1.0000000	0.5058632	0.0152185	0.4974169	0.0302349	0.1559075	0.0384353	0.0731605
0.2979948	0.9999999	0.0000011	0.6101532	0.9968403	0.9999990	0.8472115	0.9998632	0.9999410	0.9997356
0.1506724	0.4563373	1.0000000	0.0000028	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.0000011	0.5379579	0.0302349	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.0000025	0.0302349	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0000021	0.8415489	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.0000049	0.0384353	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0000046	0.0731605
0.1506724	0.4563373	1.0000000	0.3921160	0.3146532	0.5379579	0.0302349	0.8415489	0.0384353	0.0000038
